group,time,cum.in,lci,uci
Care home (priority group 1),0,6.787235110605749e-7,6.787235110605749e-7,6.787235110605749e-7
Care home (priority group 1),1,8.461419771943479e-5,2.601773459287582e-5,1.4321066084588274e-4
Care home (priority group 1),2,1.052021442232709e-4,4.027092832636914e-5,1.7171704831286938e-4
Care home (priority group 1),3,1.4796172542375086e-4,7.036100398594147e-5,2.2556244686156024e-4
Care home (priority group 1),4,2.1130925312806692e-4,1.1945533795676422e-4,3.0474685649206634e-4
Care home (priority group 1),5,2.651546516767578e-4,1.6063123096465848e-4,3.680943841963824e-4
Care home (priority group 1),6,3.8076388973729003e-4,2.5723621071371827e-4,5.058752569533365e-4
Care home (priority group 1),7,4.0293552443382286e-4,2.74656780832494e-4,5.312142680351517e-4
Care home (priority group 1),8,4.1402134178203376e-4,2.841589099881192e-4,5.423000853833626e-4
Care home (priority group 1),9,4.456951056341918e-4,3.1108160926252015e-4,5.803086020059744e-4
Care home (priority group 1),10,4.995405041829937e-4,3.570085668481715e-4,6.420724415178158e-4
Care home (priority group 1),11,5.090426333386189e-4,3.64927007811211e-4,6.531582588660267e-4
Care home (priority group 1),12,5.518022145390988e-4,4.0293552443382286e-4,7.022525928369605e-4
Care home (priority group 1),13,6.056476130877897e-4,4.488624820194742e-4,7.640164323486909e-4
Care home (priority group 1),14,6.705788289846915e-4,5.042915687607508e-4,8.352824010160464e-4
Care home (priority group 1),15,6.705788289846915e-4,5.042915687607508e-4,8.352824010160464e-4
Care home (priority group 1),16,7.022525928369605e-4,5.327979562277374e-4,8.717072294460726e-4
Care home (priority group 1),17,7.244242275334933e-4,5.518022145390988e-4,8.970462405277768e-4
Care home (priority group 1),18,7.576816795782371e-4,5.803086020059744e-4,9.33471068957803e-4
Care home (priority group 1),19,7.893554434303951e-4,6.088149894729611e-4,9.698958973878291e-4
Care home (priority group 1),20,8.226128954752499e-4,6.389050651325334e-4,0.0010047370376252696
Care home (priority group 1),21,8.321150246308751e-4,6.484071942881586e-4,0.0010174065431660662
Care home (priority group 1),22,8.542866593274079e-4,6.674114525995201e-4,0.0010411618660552957
Care home (priority group 1),23,8.986299287204735e-4,7.070036574147176e-4,0.0010902562000261184
Care home (priority group 1),24,9.208015634170064e-4,7.26007915726079e-4,0.001114011522915237
Care home (priority group 1),25,9.9681859666223e-4,7.941065080082632e-4,0.0011995306853161969
Care home (priority group 1),26,0.0010522476834035066,8.43200841979086e-4,0.0012597108366353416
Care home (priority group 1),27,0.0011171788993005194,9.033809932982306e-4,0.0013325604934952828
Care home (priority group 1),28,0.0011282647166487303,9.128831224539669e-4,0.0013452299990361904
Care home (priority group 1),29,0.0011947796207383288,9.730632737731115e-4,0.0014180796558962427
Care home (priority group 1),30,0.0012391228901313944,0.001012655478588309,0.0014655903016744798
Care home (priority group 1),31,0.001251792395672302,0.00102374129593652,0.0014782598072153874
Care home (priority group 1),32,0.0012961356650653677,0.0010633335007518285,0.0015273541411862102
Care home (priority group 1),33,0.0013515647518066443,0.001114011522915237,0.0015875342925053548
Care home (priority group 1),34,0.0013515647518066443,0.001114011522915237,0.0015875342925053548
Care home (priority group 1),35,0.001373736386503177,0.001134599469419184,0.00161287330358717
Care home (priority group 1),36,0.001464006613481894,0.0012169512554348616,0.0017110619715289266
Care home (priority group 1),37,0.001475092430830105,0.0012280370727830725,0.0017237314770697232
Care home (priority group 1),38,0.0015099335710675454,0.0012581271484426448,0.0017601563054997493
